,交易日期,行权价_call,成交量(手)_call,到期剩余天数_call,期权代码_call,收盘价_call,到期ETF收盘价_call,现期ETF收盘价_call,monthly_RV_call,option_type_call,期权收益率_call,IV_call,在值程度_call,行权价_put,成交量(手)_put,到期剩余天数_put,期权代码_put,收盘价_put,到期ETF收盘价_put,现期ETF收盘价_put,monthly_RV_put,option_type_put,期权收益率_put,IV_put,在值程度_put,Return
10,2016-04-15,2.3,3886.0,40,10000613.SH,0.03,2.074,2.178,0.1729909033239922,call,-0.025,0.2508417173034251,1.06,2.05,2791.0,40,10000606.SH,0.02,2.074,2.178,0.1729909033239922,put,-0.025,0.2382629381733537,0.94,-0.75
11,2016-05-09,2.2,6851.0,44,10000449.SH,0.02,2.124,2.071,0.1334306949169264,call,-0.0227272727272727,0.2146555767394304,1.06,1.95,6622.0,44,10000542.SH,0.02,2.124,2.071,0.1334306949169264,put,-0.0227272727272727,0.2317710419289469,0.94,-0.6818181818181818
12,2016-05-10,2.2,6787.0,43,10000449.SH,0.012,2.124,2.07,0.1286202117282052,call,-0.0232558139534883,0.1787316368767022,1.06,1.95,5219.0,43,10000542.SH,0.02,2.124,2.07,0.1286202117282052,put,-0.0232558139534883,0.2332944166784286,0.94,-0.6976744186046512
13,2016-05-11,2.2,3029.0,42,10000449.SH,0.0103,2.124,2.077,0.1280584932120271,call,-0.0238095238095238,0.1648338672218918,1.06,1.95,2605.0,42,10000542.SH,0.02,2.124,2.077,0.1280584932120271,put,-0.0238095238095238,0.2430735074386,0.94,-0.7142857142857143
14,2016-05-12,2.2,5842.0,41,10000449.SH,0.01,2.124,2.083,0.1235453892961177,call,-0.024390243902439,0.1594671868989468,1.06,1.95,5814.0,41,10000542.SH,0.02,2.124,2.083,0.1235453892961177,put,-0.024390243902439,0.2520108618261218,0.94,-0.7317073170731707
15,2016-05-13,2.2,2283.0,40,10000449.SH,0.009,2.124,2.079,0.1235543441382964,call,-0.025,0.1596033238395452,1.06,1.95,2326.0,40,10000542.SH,0.02,2.124,2.079,0.1235543441382964,put,-0.025,0.2508674068924784,0.94,-0.75
16,2016-05-16,2.2,3043.0,37,10000449.SH,0.0081,2.124,2.081,0.1144600816725471,call,-0.027027027027027,0.1586711076613664,1.06,1.95,3696.0,37,10000542.SH,0.0135,2.124,2.081,0.1144600816725471,put,-0.027027027027027,0.2254156402528285,0.94,-0.8108108108108109
17,2016-05-17,2.2,4324.0,36,10000449.SH,0.0072,2.124,2.077,0.1132803719792121,call,-0.0277777777777777,0.1588555243400931,1.06,1.95,3470.0,36,10000542.SH,0.012,2.124,2.077,0.1132803719792121,put,-0.0277777777777777,0.2149625405065417,0.94,-0.8333333333333334
18,2016-05-18,2.2,4478.0,35,10000449.SH,0.0069,2.124,2.0780000000000003,0.1128100391320136,call,-0.0285714285714285,0.1581456333757639,1.06,1.95,6923.0,35,10000542.SH,0.0118,2.124,2.0780000000000003,0.1128100391320136,put,-0.0285714285714285,0.2175965876514315,0.94,-0.8571428571428571
19,2016-05-19,2.2,2950.0,34,10000449.SH,0.006,2.124,2.072,0.1083347721159044,call,-0.0294117647058823,0.1596647165929675,1.06,1.95,3760.0,34,10000542.SH,0.0107,2.124,2.072,0.1083347721159044,put,-0.0294117647058823,0.2071719789111018,0.94,-0.8823529411764706
20,2016-05-20,2.2,1965.0,33,10000449.SH,0.006,2.124,2.083,0.1096861199940402,call,-0.0303030303030303,0.1514780227264165,1.06,1.95,4072.0,33,10000542.SH,0.0075,2.124,2.083,0.1096861199940402,put,-0.0303030303030303,0.1976644467767477,0.94,-0.9090909090909091
21,2016-05-23,2.2,4520.0,30,10000449.SH,0.0052,2.124,2.084,0.1087887918927282,call,-0.0333333333333333,0.1517073812848329,1.06,1.95,5346.0,30,10000542.SH,0.0048,2.124,2.084,0.1087887918927282,put,-0.0333333333333333,0.1832105660642385,0.94,-1.0
22,2016-05-24,2.2,4338.0,29,10000449.SH,0.0038,2.124,2.069,0.1105511203327518,call,-0.0344827586206896,0.1560392062826156,1.06,1.95,3925.0,29,10000542.SH,0.0065,2.124,2.069,0.1105511203327518,put,-0.0344827586206896,0.1873971942199468,0.94,-1.0344827586206897
23,2016-05-25,2.2,2902.0,28,10000449.SH,0.0041,2.124,2.074,0.1092715598572987,call,-0.0357142857142857,0.1571334278042913,1.06,1.95,3614.0,28,10000542.SH,0.0067,2.124,2.074,0.1092715598572987,put,-0.0357142857142857,0.1975396347129941,0.94,-1.0714285714285714
24,2016-05-26,2.2,10145.0,27,10000449.SH,0.003,2.124,2.074,0.1087584622615028,call,-0.037037037037037,0.1480552873162031,1.06,1.95,9744.0,27,10000542.SH,0.0047,2.124,2.074,0.1087584622615028,put,-0.037037037037037,0.1817550213665962,0.94,-1.1111111111111112
25,2016-05-27,2.2,4936.0,26,10000449.SH,0.0026,2.124,2.0780000000000003,0.1081467439713327,call,-0.0384615384615384,0.1421754112583399,1.06,1.95,5582.0,26,10000542.SH,0.0036,2.124,2.0780000000000003,0.1081467439713327,put,-0.0384615384615384,0.1765815792053937,0.94,-1.1538461538461537
26,2016-06-22,2.25,3786.0,35,10000643.SH,0.0077,2.215,2.124,0.1571290369014585,call,-0.0285714285714285,0.1637153270173073,1.06,2.0,2934.0,35,10000637.SH,0.0089,2.215,2.124,0.1571290369014585,put,-0.0285714285714285,0.1893993132368921,0.94,-0.8571428571428571
27,2016-06-28,2.25,7531.0,29,10000643.SH,0.0052,2.215,2.117,0.1645020508881977,call,-0.0344827586206896,0.1675970179628134,1.06,2.0,8183.0,29,10000637.SH,0.0051,2.215,2.117,0.1645020508881977,put,-0.0344827586206896,0.1686117269281149,0.94,-1.0344827586206897
28,2016-07-08,2.3,2298.0,47,10000659.SH,0.0131,2.28,2.177,0.1274875670921251,call,-0.0212765957446808,0.161631132445544,1.06,2.05,3052.0,47,10000651.SH,0.011,2.28,2.177,0.1274875670921251,put,-0.0212765957446808,0.1753433529339432,0.94,-0.6382978723404256
29,2016-07-26,2.35,7945.0,29,10000665.SH,0.0085,2.28,2.227,0.1126939680565347,call,-0.0344827586206896,0.1750866954618692,1.06,2.1,6693.0,29,10000652.SH,0.0049,2.28,2.227,0.1126939680565347,put,-0.0344827586206896,0.1682631591397524,0.94,-1.0344827586206897
30,2016-08-11,2.35,14105.0,48,10000667.SH,0.007,2.219,2.2230000000000003,0.0765775972333862,call,-0.0208333333333333,0.1289872941493987,1.06,2.1,8188.0,48,10000572.SH,0.0078,2.219,2.2230000000000003,0.0765775972333862,put,-0.0208333333333333,0.1487321573238372,0.94,-0.625
31,2017-02-08,2.5,1185.0,42,10000763.SH,0.0046,2.336,2.3480000000000003,0.0875465248125442,call,-0.0238095238095238,0.1326558389917611,1.06,2.2,1264.0,42,10000679.SH,0.003,2.336,2.3480000000000003,0.0875465248125442,put,-0.0238095238095238,0.133134106422305,0.94,-0.7142857142857143
32,2017-02-08,2.5,1185.0,42,10000763.SH,0.0046,2.336,2.3480000000000003,0.0875465248125442,call,-0.0238095238095238,0.1326558389917611,1.06,2.2,2618.0,42,10000828.SH,0.0029,2.336,2.3480000000000003,0.0875465248125442,put,-0.0238095238095238,0.1321216624323725,0.94,-0.7142857142857143
33,2017-02-08,2.5,7126.0,42,10000791.SH,0.0042,2.336,2.3480000000000003,0.0875465248125442,call,-0.0238095238095238,0.1296148115358352,1.06,2.2,1264.0,42,10000679.SH,0.003,2.336,2.3480000000000003,0.0875465248125442,put,-0.0238095238095238,0.133134106422305,0.94,-0.7142857142857143
34,2017-02-08,2.5,7126.0,42,10000791.SH,0.0042,2.336,2.3480000000000003,0.0875465248125442,call,-0.0238095238095238,0.1296148115358352,1.06,2.2,2618.0,42,10000828.SH,0.0029,2.336,2.3480000000000003,0.0875465248125442,put,-0.0238095238095238,0.1321216624323725,0.94,-0.7142857142857143
35,2017-02-20,2.55,4590.0,30,10000811.SH,0.0025,2.336,2.395,0.0914627983354122,call,-0.0333333333333333,0.1364907999191283,1.06,2.25,2358.0,30,10000680.SH,0.0022,2.336,2.395,0.0914627983354122,put,-0.0333333333333333,0.1407286880437135,0.94,-1.0
36,2017-02-20,2.55,4590.0,30,10000811.SH,0.0025,2.336,2.395,0.0914627983354122,call,-0.0333333333333333,0.1364907999191283,1.06,2.25,6720.0,30,10000820.SH,0.0021,2.336,2.395,0.0914627983354122,put,-0.0333333333333333,0.139366364963889,0.94,-1.0
37,2017-02-22,2.55,3874.0,28,10000811.SH,0.0021,2.336,2.396,0.0820807031759522,call,-0.0357142857142857,0.1356251024912595,1.06,2.25,293.0,28,10000680.SH,0.0018,2.336,2.396,0.0820807031759522,put,-0.0357142857142857,0.1402919054251909,0.94,-1.0714285714285714
38,2017-02-22,2.55,3874.0,28,10000811.SH,0.0021,2.336,2.396,0.0820807031759522,call,-0.0357142857142857,0.1356251024912595,1.06,2.25,2281.0,28,10000820.SH,0.0017,2.336,2.396,0.0820807031759522,put,-0.0357142857142857,0.1387102373622655,0.94,-1.0714285714285714
39,2017-05-18,2.5,804.0,41,10000765.SH,0.0017,2.548,2.35,0.0813902839268878,call,0.6642754662840753,0.1060383252924681,1.06,2.2,195.0,41,10000733.SH,0.0009,2.548,2.35,0.0813902839268878,put,-0.024390243902439,0.1075422689374685,0.94,12.7767354596623
40,2017-05-18,2.5,804.0,41,10000765.SH,0.0017,2.548,2.35,0.0813902839268878,call,0.6642754662840753,0.1060383252924681,1.06,2.2,1284.0,41,10000830.SH,0.001,2.548,2.35,0.0813902839268878,put,-0.024390243902439,0.1094884788255691,0.94,12.276422764227654
41,2017-05-18,2.5,1786.0,41,10000801.SH,0.0017,2.548,2.35,0.0813902839268878,call,0.6642754662840753,0.1060383252924681,1.06,2.2,195.0,41,10000733.SH,0.0009,2.548,2.35,0.0813902839268878,put,-0.024390243902439,0.1075422689374685,0.94,12.7767354596623
42,2017-05-18,2.5,1786.0,41,10000801.SH,0.0017,2.548,2.35,0.0813902839268878,call,0.6642754662840753,0.1060383252924681,1.06,2.2,1284.0,41,10000830.SH,0.001,2.548,2.35,0.0813902839268878,put,-0.024390243902439,0.1094884788255691,0.94,12.276422764227654
43,2017-05-23,2.55,3385.0,36,10000813.SH,0.0016,2.548,2.403,0.0867647969095847,call,-0.0277777777777777,0.1080422324478626,1.06,2.25,4156.0,36,10000734.SH,0.0013,2.548,2.403,0.0867647969095847,put,-0.0277777777777777,0.1212057924554348,0.94,-0.8333333333333334
44,2017-05-23,2.55,3385.0,36,10000813.SH,0.0016,2.548,2.403,0.0867647969095847,call,-0.0277777777777777,0.1080422324478626,1.06,2.25,7626.0,36,10000822.SH,0.0014,2.548,2.403,0.0867647969095847,put,-0.0277777777777777,0.1228697148870229,0.94,-0.8333333333333334
45,2017-05-24,2.55,3657.0,35,10000813.SH,0.0017,2.548,2.399,0.0867155761264164,call,-0.0285714285714285,0.1136011972587108,1.06,2.25,3322.0,35,10000734.SH,0.0014,2.548,2.399,0.0867155761264164,put,-0.0285714285714285,0.1220478864557743,0.94,-0.8571428571428571
46,2017-05-24,2.55,3657.0,35,10000813.SH,0.0017,2.548,2.399,0.0867155761264164,call,-0.0285714285714285,0.1136011972587108,1.06,2.25,5536.0,35,10000822.SH,0.0012,2.548,2.399,0.0867155761264164,put,-0.0285714285714285,0.1186458934515714,0.94,-0.8571428571428571
47,2017-06-06,2.6,4099.0,50,10000919.SH,0.0076,2.677,2.457,0.1389878209328303,call,0.1826315789473683,0.1271385974113941,1.06,2.3,4113.0,50,10000906.SH,0.0037,2.677,2.457,0.1389878209328303,put,-0.02,0.1288094339783191,0.94,3.4884955752212363
48,2017-08-15,2.8,12356.0,43,10000965.SH,0.0092,2.7110000000000003,2.651,0.1310575461444343,call,-0.0232558139534883,0.1394884352153539,1.06,2.5,7890.0,43,10000856.SH,0.0056,2.7110000000000003,2.651,0.1310575461444343,put,-0.0232558139534883,0.1380346786561608,0.94,-0.6976744186046512
49,2017-08-17,2.8,13478.0,41,10000965.SH,0.0091,2.7110000000000003,2.652,0.1320818725738015,call,-0.024390243902439,0.1418738119065761,1.06,2.5,5921.0,41,10000856.SH,0.0043,2.7110000000000003,2.652,0.1320818725738015,put,-0.024390243902439,0.1324802437960505,0.94,-0.7317073170731707
50,2017-11-14,3.1,25297.0,43,10001053.SH,0.0059,2.834,2.9130000000000003,0.0937950381280364,call,-0.0232558139534883,0.1313195035240649,1.06,2.75,7416.0,43,10000960.SH,0.0037,2.834,2.9130000000000003,0.0937950381280364,put,-0.0232558139534883,0.1200005871406793,0.94,-0.6976744186046512
51,2017-11-16,3.1,17279.0,41,10001053.SH,0.008,2.834,2.932,0.0999571271883689,call,-0.024390243902439,0.1347164897406101,1.06,2.75,9159.0,41,10000960.SH,0.0026,2.834,2.932,0.0999571271883689,put,-0.024390243902439,0.1229357568004131,0.94,-0.7317073170731707
52,2017-11-30,3.04,55307.0,27,10001053.SH,0.0125,2.834,2.858,0.1550309791767879,call,-0.037037037037037,0.2088915720530748,1.06,2.7,20236.0,27,10000960.SH,0.0088,2.834,2.858,0.1550309791767879,put,-0.037037037037037,0.1874290230843424,0.94,-1.1111111111111112
53,2017-12-19,3.04,10761.0,36,10001075.SH,0.0122,3.172,2.87,0.1839553137667376,call,0.2727686703096542,0.1696955772467851,1.06,2.7,4360.0,36,10001136.SH,0.0057,3.172,2.87,0.1839553137667376,put,-0.0277777777777777,0.1519665421507358,0.94,5.311918063314717
54,2017-12-20,3.04,5081.0,35,10001075.SH,0.0121,3.172,2.8760000000000003,0.1839720889307971,call,0.2831168831168834,0.1673571689921617,1.06,2.7,3279.0,35,10001136.SH,0.0058,3.172,2.8760000000000003,0.1839720889307971,put,-0.0285714285714285,0.158426609530747,0.94,5.463687150837995
55,2017-12-22,3.04,9975.0,33,10001075.SH,0.0143,3.172,2.878,0.1728970926287164,call,0.2494172494172496,0.1812876019759774,1.06,2.7,2631.0,33,10001136.SH,0.0028,3.172,2.878,0.1728970926287164,put,-0.0303030303030303,0.1384658584408759,0.94,6.1084529505582195
56,2017-12-25,3.04,19438.0,30,10001075.SH,0.0129,3.172,2.8760000000000003,0.1523908525516514,call,0.3077519379844964,0.1854483617287874,1.06,2.7,4882.0,30,10001136.SH,0.0031,3.172,2.8760000000000003,0.1523908525516514,put,-0.0333333333333333,0.146884652678132,0.94,7.250000000000007
57,2017-12-29,3.04,17235.0,26,10001075.SH,0.0063,3.172,2.858,0.1684467054672405,call,0.7673992673992681,0.1739501546635627,1.06,2.7,13618.0,26,10001136.SH,0.0021,3.172,2.858,0.1684467054672405,put,-0.0384615384615384,0.1337787899378537,0.94,16.978021978021992
58,2018-01-12,3.2,18436.0,47,10001173.SH,0.0112,2.8710000000000004,3.018,0.1333713632381493,call,-0.0212765957446808,0.1426226246844827,1.06,2.85,13091.0,47,10001148.SH,0.0075,2.8710000000000004,3.018,0.1333713632381493,put,-0.0212765957446808,0.1361846706166267,0.94,-0.6382978723404256
59,2018-02-07,3.2,38756.0,49,10001175.SH,0.05,2.688,3.023,0.185875290081082,call,-0.0204081632653061,0.2527504060864001,1.06,2.85,6851.0,49,10001010.SH,0.03,2.688,3.023,0.185875290081082,put,0.0897959183673468,0.220196004515022,0.94,0.6275510204081627
60,2018-02-07,3.2,38756.0,49,10001175.SH,0.05,2.688,3.023,0.185875290081082,call,-0.0204081632653061,0.2527504060864001,1.06,2.85,13753.0,49,10001111.SH,0.03,2.688,3.023,0.185875290081082,put,0.0897959183673468,0.220196004515022,0.94,0.6275510204081627
61,2018-02-14,3.04,2683.0,42,10001055.SH,0.04,2.688,2.866,0.2643755668645292,call,-0.0238095238095238,0.2563781515698135,1.06,2.7,2211.0,42,10000977.SH,0.04,2.688,2.866,0.2643755668645292,put,-0.0166666666666666,0.2781719829885661,0.94,-0.6071428571428571
62,2018-02-14,3.04,2683.0,42,10001055.SH,0.04,2.688,2.866,0.2643755668645292,call,-0.0238095238095238,0.2563781515698135,1.06,2.7,3076.0,42,10001138.SH,0.04,2.688,2.866,0.2643755668645292,put,-0.0166666666666666,0.2781719829885661,0.94,-0.6071428571428571
63,2018-02-22,3.1,13208.0,34,10001164.SH,0.03,2.688,2.925,0.2740305334353771,call,-0.0294117647058823,0.2465262835747599,1.06,2.75,2427.0,34,10000978.SH,0.03,2.688,2.925,0.2740305334353771,put,0.0313725490196076,0.272661834357381,0.94,0.029411764705879896
64,2018-02-22,3.1,13208.0,34,10001164.SH,0.03,2.688,2.925,0.2740305334353771,call,-0.0294117647058823,0.2465262835747599,1.06,2.75,12348.0,34,10001130.SH,0.03,2.688,2.925,0.2740305334353771,put,0.0313725490196076,0.272661834357381,0.94,0.029411764705879896
65,2018-02-26,3.14,7370.0,30,10001063.SH,0.02,2.688,2.965,0.273631114370508,call,-0.0333333333333333,0.2197700103318094,1.06,2.8,2903.0,30,10000986.SH,0.02,2.688,2.965,0.273631114370508,put,0.1533333333333327,0.233809162133336,0.94,1.7999999999999914
66,2018-02-26,3.14,7370.0,30,10001063.SH,0.02,2.688,2.965,0.273631114370508,call,-0.0333333333333333,0.2197700103318094,1.06,2.8,19434.0,30,10001110.SH,0.02,2.688,2.965,0.273631114370508,put,0.1533333333333327,0.233809162133336,0.94,1.7999999999999914
67,2018-02-27,3.1,18700.0,29,10001164.SH,0.02,2.688,2.92,0.2766997303427126,call,-0.0344827586206896,0.231022765592575,1.06,2.75,3721.0,29,10000978.SH,0.02,2.688,2.92,0.2766997303427126,put,0.0724137931034479,0.2459223100112378,0.94,0.568965517241375
68,2018-02-27,3.1,18700.0,29,10001164.SH,0.02,2.688,2.92,0.2766997303427126,call,-0.0344827586206896,0.231022765592575,1.06,2.75,14126.0,29,10001130.SH,0.02,2.688,2.92,0.2766997303427126,put,0.0724137931034479,0.2459223100112378,0.94,0.568965517241375
69,2018-02-28,3.04,10617.0,28,10001055.SH,0.02,2.688,2.8710000000000004,0.2790687210619682,call,-0.0357142857142857,0.2302797344623208,1.06,2.7,8673.0,28,10000977.SH,0.02,2.688,2.8710000000000004,0.2790687210619682,put,-0.0142857142857142,0.2553854367074369,0.94,-0.7499999999999997
70,2018-02-28,3.04,10617.0,28,10001055.SH,0.02,2.688,2.8710000000000004,0.2790687210619682,call,-0.0357142857142857,0.2302797344623208,1.06,2.7,20831.0,28,10001138.SH,0.02,2.688,2.8710000000000004,0.2790687210619682,put,-0.0142857142857142,0.2553854367074369,0.94,-0.7499999999999997
71,2018-04-10,2.95,5451.0,43,10001301.SH,0.03,2.672,2.775,0.1859618725986603,call,-0.0232558139534883,0.2297361403737664,1.06,2.6,3324.0,43,10001294.SH,0.03,2.672,2.775,0.1859618725986603,put,-0.0232558139534883,0.2570113909992874,0.94,-0.6976744186046512
72,2018-04-11,2.95,5507.0,42,10001301.SH,0.03,2.672,2.775,0.1832144862935125,call,-0.0238095238095238,0.2325930491740405,1.06,2.6,5843.0,42,10001294.SH,0.03,2.672,2.775,0.1832144862935125,put,-0.0238095238095238,0.2599105594715774,0.94,-0.7142857142857143
73,2018-05-25,2.8,4204.0,33,10001028.SH,0.0141,2.465,2.654,0.1662344796515343,call,-0.0303030303030303,0.1830092812794744,1.06,2.5,15334.0,33,10001280.SH,0.0071,2.465,2.654,0.1662344796515343,put,0.1190781049935985,0.1691686724504233,0.94,0.5917667238422015
74,2018-05-25,2.8,39449.0,33,10001115.SH,0.0141,2.465,2.654,0.1662344796515343,call,-0.0303030303030303,0.1830092812794744,1.06,2.5,15334.0,33,10001280.SH,0.0071,2.465,2.654,0.1662344796515343,put,0.1190781049935985,0.1691686724504233,0.94,0.5917667238422015
75,2018-05-30,2.75,6971.0,28,10001027.SH,0.02,2.465,2.6010000000000004,0.1538267747081988,call,-0.0357142857142857,0.2356356859545708,1.06,2.45,42488.0,28,10001310.SH,0.0131,2.465,2.6010000000000004,0.1538267747081988,put,-0.0357142857142857,0.2233045639997124,0.94,-1.0714285714285714
76,2018-05-30,2.75,50950.0,28,10001131.SH,0.02,2.465,2.6010000000000004,0.1538267747081988,call,-0.0357142857142857,0.2356356859545708,1.06,2.45,42488.0,28,10001310.SH,0.0131,2.465,2.6010000000000004,0.1538267747081988,put,-0.0357142857142857,0.2233045639997124,0.94,-1.0714285714285714
77,2018-05-31,2.8,9437.0,27,10001028.SH,0.0135,2.465,2.651,0.1671773315266529,call,-0.037037037037037,0.2029148981004953,1.06,2.5,39279.0,27,10001280.SH,0.0112,2.465,2.651,0.1671773315266529,put,0.0787037037037041,0.2114289405124784,0.94,0.4633378317588909
78,2018-05-31,2.8,34611.0,27,10001115.SH,0.0123,2.465,2.651,0.1671773315266529,call,-0.037037037037037,0.1963731723979711,1.06,2.5,39279.0,27,10001280.SH,0.0112,2.465,2.651,0.1671773315266529,put,0.0787037037037041,0.2114289405124784,0.94,0.5437352245862953
79,2018-06-08,2.8,5352.0,47,10001342.SH,0.02,2.609,2.652,0.1676787912978495,call,-0.0212765957446808,0.1753161136249005,1.06,2.5,3696.0,47,10001345.SH,0.02,2.609,2.652,0.1676787912978495,put,-0.0212765957446808,0.2008556182577908,0.94,-0.6382978723404256
80,2018-06-22,2.75,14579.0,33,10001341.SH,0.014,2.609,2.5980000000000003,0.1710106818246442,call,-0.0303030303030303,0.1912933094822764,1.06,2.45,12394.0,33,10001344.SH,0.0143,2.609,2.5980000000000003,0.1710106818246442,put,-0.0303030303030303,0.2103028901264071,0.94,-0.9090909090909091
81,2018-06-25,2.7,35783.0,30,10001340.SH,0.02,2.609,2.548,0.17404530482813,call,-0.0333333333333333,0.2347661738313436,1.06,2.4,18273.0,30,10001356.SH,0.0128,2.609,2.548,0.17404530482813,put,-0.0333333333333333,0.2159098962569237,0.94,-1.0
82,2018-06-29,2.65,44520.0,26,10001339.SH,0.0122,2.609,2.495,0.2061790611414615,call,-0.0384615384615384,0.2175613017193675,1.06,2.35,44904.0,26,10001366.SH,0.0122,2.609,2.495,0.2061790611414615,put,-0.0384615384615384,0.2292355808172225,0.94,-1.1538461538461537
83,2018-07-09,2.65,5652.0,44,10001393.SH,0.02,2.499,2.496,0.2436540473726315,call,-0.0227272727272727,0.1975876760326624,1.06,2.35,8011.0,44,10001396.SH,0.03,2.499,2.496,0.2436540473726315,put,-0.0227272727272727,0.2552007816102504,0.94,-0.6818181818181818
84,2018-07-10,2.65,5959.0,43,10001393.SH,0.02,2.499,2.4930000000000003,0.2427647692781822,call,-0.0232558139534883,0.2025625156167745,1.06,2.35,6744.0,43,10001396.SH,0.03,2.499,2.4930000000000003,0.2427647692781822,put,-0.0232558139534883,0.2553719064598381,0.94,-0.6976744186046512
85,2018-07-11,2.6,6218.0,42,10001392.SH,0.03,2.499,2.454,0.2427976437015681,call,-0.0238095238095238,0.2382331954704821,1.06,2.3,5326.0,42,10001395.SH,0.03,2.499,2.454,0.2427976437015681,put,-0.0238095238095238,0.2734709670056403,0.94,-0.7142857142857143
86,2018-07-12,2.65,10322.0,41,10001393.SH,0.03,2.499,2.505,0.2550800671805858,call,-0.024390243902439,0.2355055094754696,1.06,2.35,8439.0,41,10001396.SH,0.03,2.499,2.505,0.2550800671805858,put,-0.024390243902439,0.2719371018439234,0.94,-0.7317073170731707
87,2018-07-13,2.65,3701.0,40,10001393.SH,0.03,2.499,2.509,0.2519898130391338,call,-0.025,0.2346985821979642,1.06,2.35,2950.0,40,10001396.SH,0.02,2.499,2.509,0.2519898130391338,put,-0.025,0.2356660247035921,0.94,-0.75
88,2018-07-16,2.65,7065.0,37,10001393.SH,0.02,2.499,2.49,0.252270606405884,call,-0.027027027027027,0.2219569036551713,1.06,2.35,8983.0,37,10001396.SH,0.03,2.499,2.49,0.252270606405884,put,-0.027027027027027,0.2714962065069675,0.94,-0.8108108108108109
89,2018-07-20,2.7,38020.0,33,10001403.SH,0.0126,2.499,2.54,0.2602303416227794,call,-0.0303030303030303,0.1948657716853022,1.06,2.4,52182.0,33,10001397.SH,0.02,2.499,2.54,0.2602303416227794,put,-0.0303030303030303,0.2360074399381578,0.94,-0.9090909090909091
90,2018-08-08,2.65,4848.0,49,10001242.SH,0.04,2.638,2.494,0.2265554517378123,call,-0.0204081632653061,0.2570129407192768,1.06,2.35,5308.0,49,10001368.SH,0.03,2.638,2.494,0.2265554517378123,put,-0.0204081632653061,0.2408710573107302,0.94,-0.6122448979591837
