,交易日期,CV_1,intensity_1,size_1,sizevol_1
202,2016-12-01,7.460769528265622e-05,0,0.0,0.0
203,2016-12-02,0.00010264979090926973,0,0.0,0.0
204,2016-12-05,8.276953908227462e-05,0,0.0,0.0
205,2016-12-06,3.63538887264632e-05,0,0.0,0.0
206,2016-12-07,3.8001003009163994e-05,0,0.0,0.0
207,2016-12-08,4.344498053276617e-05,0,0.0,0.0
208,2016-12-09,6.035030081522156e-05,1,0.1001966735590578,2.088251783883151
209,2016-12-12,0.00017247139095073836,0,0.0,0.0
210,2016-12-13,5.969814097584424e-05,0,0.0,0.0
211,2016-12-14,5.5291924611524866e-05,0,0.0,0.0
212,2016-12-15,0.0001220746094347806,0,0.0,0.0
213,2016-12-16,4.826247257661083e-05,0,0.0,0.0
214,2016-12-19,6.234499890714153e-05,0,0.0,0.0
215,2016-12-20,8.892132358987413e-05,0,0.0,0.0
216,2016-12-21,5.6843864484965124e-05,0,0.0,0.0
217,2016-12-22,5.393746181004882e-05,0,0.0,0.0
218,2016-12-23,5.280814429228176e-05,0,0.0,0.0
219,2016-12-26,5.1665977170686585e-05,1,0.08697938285108645,1.467741658541014
220,2016-12-27,3.3549924537990186e-05,0,0.0,0.0
221,2016-12-28,3.0543720659094685e-05,0,0.0,0.0
222,2016-12-29,2.6041517418011584e-05,1,0.06121784742541041,0.6596086828388462
223,2016-12-30,3.9158263553162184e-05,0,0.0,0.0
224,2017-01-03,5.266997105234722e-05,0,0.0,0.0
225,2017-01-04,4.326298711597967e-05,0,0.0,0.0
226,2017-01-05,2.9856302768690094e-05,0,0.0,0.0
227,2017-01-06,2.9559747687654163e-05,0,0.0,0.0
228,2017-01-09,2.7374867016498116e-05,0,0.0,0.0
229,2017-01-10,2.5334530535582797e-05,0,0.0,0.0
230,2017-01-11,3.955358317404309e-05,0,0.0,0.0
231,2017-01-12,3.3158894134045006e-05,0,0.0,0.0
232,2017-01-13,5.884089729763738e-05,0,0.0,0.0
233,2017-01-16,0.00015636613733832706,0,0.0,0.0
234,2017-01-17,4.166353592811365e-05,0,0.0,0.0
235,2017-01-18,4.6241705589654e-05,0,0.0,0.0
236,2017-01-19,3.5515942773543276e-05,0,0.0,0.0
237,2017-01-20,3.550809630091198e-05,0,0.0,0.0
238,2017-01-23,2.8571686882845227e-05,0,0.0,0.0
239,2017-01-24,2.6612538995960605e-05,0,0.0,0.0
240,2017-01-25,2.51156297396867e-05,0,0.0,0.0
241,2017-01-26,2.534532365558683e-05,0,0.0,0.0
242,2017-02-03,4.3189815983114617e-05,0,0.0,0.0
243,2017-02-06,3.588082169402604e-05,0,0.0,0.0
244,2017-02-07,3.439091099165283e-05,0,0.0,0.0
245,2017-02-08,3.0297676457617092e-05,0,0.0,0.0
246,2017-02-09,3.714297795030444e-05,0,0.0,0.0
247,2017-02-10,3.702118187699183e-05,0,0.0,0.0
248,2017-02-13,2.959709449501839e-05,0,0.0,0.0
249,2017-02-14,2.755237825862917e-05,0,0.0,0.0
250,2017-02-15,2.761713287487642e-05,0,0.0,0.0
251,2017-02-16,1.6186500478302116e-05,0,0.0,0.0
252,2017-02-17,3.4366135362660496e-05,0,0.0,0.0
253,2017-02-20,3.899274317629861e-05,0,0.0,0.0
254,2017-02-21,3.705123538631708e-05,0,0.0,0.0
255,2017-02-22,2.9887698810734787e-05,0,0.0,0.0
256,2017-02-23,2.6111921793236625e-05,0,0.0,0.0
257,2017-02-24,3.39026087642821e-05,0,0.0,0.0
258,2017-02-27,2.8701179800312688e-05,0,0.0,0.0
259,2017-02-28,3.671900437513613e-05,0,0.0,0.0
260,2017-03-01,2.912553210108876e-05,0,0.0,0.0
261,2017-03-02,3.339927663771417e-05,0,0.0,0.0
262,2017-03-03,3.2971753607205766e-05,0,0.0,0.0
263,2017-03-06,1.9381441387416162e-05,1,0.0566335697730959,0.6030039417807428
264,2017-03-07,2.374827034199697e-05,0,0.0,0.0
265,2017-03-08,3.210802379358862e-05,0,0.0,0.0
266,2017-03-09,3.2880516297030584e-05,0,0.0,0.0
267,2017-03-10,2.97949628348399e-05,0,0.0,0.0
268,2017-03-13,2.9313419971705187e-05,0,0.0,0.0
269,2017-03-14,2.6013973709274133e-05,0,0.0,0.0
270,2017-03-15,2.8082110028481575e-05,0,0.0,0.0
271,2017-03-16,2.8184118980099258e-05,0,0.0,0.0
272,2017-03-17,3.639068865500294e-05,0,0.0,0.0
273,2017-03-20,2.491183605745629e-05,0,0.0,0.0
274,2017-03-21,1.593498781595197e-05,1,0.050838105455948794,0.4264632305915182
275,2017-03-22,4.048042501857468e-05,0,0.0,0.0
276,2017-03-23,3.112684016609529e-05,0,0.0,0.0
277,2017-03-24,4.7989465198788464e-05,1,0.08012128736350356,1.174802820341414
278,2017-03-27,4.4793261841120376e-05,0,0.0,0.0
279,2017-03-28,3.77763686153092e-05,0,0.0,0.0
280,2017-03-29,3.009533046710523e-05,0,0.0,0.0
281,2017-03-30,4.785097074622311e-05,0,0.0,0.0
282,2017-03-31,3.8913496652596976e-05,0,0.0,0.0
283,2017-04-05,3.940295595925936e-05,0,0.0,0.0
